date,value,category
2024-10-29,886,C4
2024-10-28,710,C4
2024-10-27,124,C1
2024-10-26,56,C2
2024-10-25,302,C3
2024-10-24,305,C1
2024-10-23,918,C2
2024-10-22,65,C1
2024-10-21,55,C3
2024-10-20,235,C1
2024-10-19,49,C3
2024-10-18,21,C2
2024-10-17,516,C3
2024-10-16,120,C1
2024-10-15,584,C2
2024-10-14,794,C4
2024-10-13,661,C3
2024-10-12,834,C2
2024-10-11,812,C4
2024-10-10,972,C2
2024-10-09,948,C3
2024-10-08,75,C3
2024-10-07,612,C4
2024-10-06,574,C2
2024-10-05,779,C3
2024-10-04,948,C3
2024-10-03,454,C4
2024-10-02,962,C3
2024-10-01,712,C2
2024-09-30,312,C3
2024-09-29,247,C2
2024-09-28,231,C3
2024-09-27,233,C1
2024-09-26,377,C3
2024-09-25,423,C4
2024-09-24,343,C3
2024-09-23,270,C3
2024-09-22,676,C2
2024-09-21,875,C1
2024-09-20,697,C1
2024-09-19,205,C3
2024-09-18,319,C4
2024-09-17,48,C3
2024-09-16,569,C3
2024-09-15,573,C4
2024-09-14,697,C1
2024-09-13,801,C3
2024-09-12,169,C2
2024-09-11,153,C3
2024-09-10,654,C2
2024-09-09,610,C2
2024-09-08,872,C3
2024-09-07,143,C2
2024-09-06,174,C1
2024-09-05,176,C1
2024-09-04,161,C4
2024-09-03,384,C3
2024-09-02,626,C3
2024-09-01,523,C4
2024-08-31,873,C1
2024-08-30,914,C2
2024-08-29,431,C3
2024-08-28,827,C3
2024-08-27,970,C4
2024-08-26,94,C1
2024-08-25,430,C4
2024-08-24,945,C2
2024-08-23,368,C1
2024-08-22,228,C4
2024-08-21,680,C2
2024-08-20,853,C4
2024-08-19,85,C2
2024-08-18,941,C2
2024-08-17,34,C4
2024-08-16,505,C3
2024-08-15,676,C2
2024-08-14,309,C2
2024-08-13,853,C1
2024-08-12,420,C3
2024-08-11,402,C4
2024-08-10,964,C4
2024-08-09,246,C3
2024-08-08,727,C3
2024-08-07,607,C1
2024-08-06,424,C4
2024-08-05,404,C4
2024-08-04,13,C1
2024-08-03,927,C4
2024-08-02,900,C3
2024-08-01,593,C1
2024-07-31,97,C1
2024-07-30,267,C1
2024-07-29,973,C4
2024-07-28,661,C1
2024-07-27,158,C1
2024-07-26,601,C2
2024-07-25,415,C3
2024-07-24,646,C4
2024-07-23,433,C2
2024-07-22,683,C2
2024-07-21,279,C1
2024-07-20,908,C1
2024-07-19,470,C1
2024-07-18,730,C3
2024-07-17,900,C2
2024-07-16,589,C4
2024-07-15,372,C1
2024-07-14,490,C2
2024-07-13,395,C4
2024-07-12,943,C4
2024-07-11,917,C1
2024-07-10,105,C1
2024-07-09,331,C1
2024-07-08,913,C3
2024-07-07,859,C1
2024-07-06,816,C1
2024-07-05,311,C3
2024-07-04,768,C1
2024-07-03,199,C2
2024-07-02,304,C2
2024-07-01,59,C4
2024-06-30,592,C4
2024-06-29,479,C2
2024-06-28,558,C1
2024-06-27,109,C4
2024-06-26,614,C4
2024-06-25,368,C3
2024-06-24,619,C2
2024-06-23,693,C4
2024-06-22,900,C3
2024-06-21,202,C3
2024-06-20,309,C2
2024-06-19,28,C4
2024-06-18,602,C2
2024-06-17,835,C2
2024-06-16,726,C2
2024-06-15,148,C4
2024-06-14,347,C1
2024-06-13,571,C2
2024-06-12,737,C4
2024-06-11,111,C2
2024-06-10,386,C3
2024-06-09,397,C4
2024-06-08,123,C1
2024-06-07,130,C4
2024-06-06,655,C3
2024-06-05,21,C1
2024-06-04,845,C1
2024-06-03,41,C1
2024-06-02,609,C1
2024-06-01,10,C4
2024-05-31,353,C1
2024-05-30,596,C2
2024-05-29,96,C1
2024-05-28,486,C1
2024-05-27,944,C4
2024-05-26,574,C2
2024-05-25,798,C3
2024-05-24,138,C4
2024-05-23,853,C2
2024-05-22,253,C2
2024-05-21,400,C1
2024-05-20,674,C3
2024-05-19,678,C3
2024-05-18,216,C1
2024-05-17,487,C3
2024-05-16,398,C1
2024-05-15,625,C2
2024-05-14,389,C3
2024-05-13,57,C4
2024-05-12,787,C2
2024-05-11,887,C1
2024-05-10,223,C3
2024-05-09,757,C2
2024-05-08,558,C2
2024-05-07,779,C4
2024-05-06,417,C2
2024-05-05,891,C4
2024-05-04,815,C2
2024-05-03,180,C2
2024-05-02,191,C1
2024-05-01,629,C2
2024-04-30,811,C3
2024-04-29,586,C2
2024-04-28,955,C3
2024-04-27,752,C3
2024-04-26,126,C1
2024-04-25,262,C2
2024-04-24,735,C3
2024-04-23,339,C1
2024-04-22,221,C2
2024-04-21,408,C4
2024-04-20,458,C2
2024-04-19,927,C1
2024-04-18,868,C3
2024-04-17,949,C4
2024-04-16,864,C4
2024-04-15,224,C4
2024-04-14,113,C4
2024-04-13,415,C2
2024-04-12,261,C2
2024-04-11,440,C2
2024-04-10,878,C1
2024-04-09,997,C2
2024-04-08,881,C1
2024-04-07,656,C3
2024-04-06,447,C3
2024-04-05,702,C2
2024-04-04,509,C2
2024-04-03,121,C1
2024-04-02,679,C1
2024-04-01,121,C1
2024-03-31,72,C2
2024-03-30,463,C4
2024-03-29,939,C4
2024-03-28,687,C2
2024-03-27,737,C2
2024-03-26,528,C1
2024-03-25,796,C4
2024-03-24,517,C1
2024-03-23,108,C4
2024-03-22,370,C1
2024-03-21,672,C3
2024-03-20,647,C2
2024-03-19,679,C4
2024-03-18,226,C1
2024-03-17,67,C3
2024-03-16,21,C1
2024-03-15,46,C4
2024-03-14,416,C2
2024-03-13,70,C1
2024-03-12,746,C2
2024-03-11,334,C2
2024-03-10,428,C1
2024-03-09,89,C1
2024-03-08,571,C2
2024-03-07,686,C3
2024-03-06,745,C3
2024-03-05,922,C1
2024-03-04,403,C3
2024-03-03,556,C2
2024-03-02,190,C3
2024-03-01,840,C1
2024-02-29,379,C1
2024-02-28,701,C4
2024-02-27,352,C1
2024-02-26,397,C1
2024-02-25,332,C2
2024-02-24,411,C3
2024-02-23,361,C1
2024-02-22,998,C4
2024-02-21,639,C3
2024-02-20,583,C4
2024-02-19,126,C3
2024-02-18,293,C1
2024-02-17,261,C2
2024-02-16,573,C4
2024-02-15,127,C1
2024-02-14,276,C2
2024-02-13,691,C2
2024-02-12,498,C1
2024-02-11,121,C4
2024-02-10,940,C4
2024-02-09,429,C4
2024-02-08,97,C1
2024-02-07,950,C1
2024-02-06,962,C4
2024-02-05,520,C3
2024-02-04,689,C1
2024-02-03,142,C4
2024-02-02,566,C2
2024-02-01,535,C3
2024-01-31,193,C4
2024-01-30,44,C4
2024-01-29,665,C4
2024-01-28,178,C4
2024-01-27,627,C4
2024-01-26,695,C3
2024-01-25,940,C1
2024-01-24,541,C1
2024-01-23,899,C2
2024-01-22,952,C1
2024-01-21,361,C3
2024-01-20,923,C3
2024-01-19,782,C4
2024-01-18,316,C2
2024-01-17,432,C4
2024-01-16,483,C2
2024-01-15,84,C1
2024-01-14,81,C2
2024-01-13,880,C3
2024-01-12,366,C3
2024-01-11,820,C3
2024-01-10,658,C1
2024-01-09,412,C1
2024-01-08,289,C1
2024-01-07,379,C4
2024-01-06,65,C2
2024-01-05,996,C1
2024-01-04,956,C3
2024-01-03,220,C4
2024-01-02,328,C1
2024-01-01,456,C3
2023-12-31,667,C4
2023-12-30,316,C1
2023-12-29,196,C4
2023-12-28,906,C1
2023-12-27,632,C2
2023-12-26,897,C2
2023-12-25,411,C4
2023-12-24,987,C2
2023-12-23,274,C3
2023-12-22,638,C1
2023-12-21,850,C1
2023-12-20,362,C2
2023-12-19,195,C1
2023-12-18,566,C4
2023-12-17,153,C4
2023-12-16,470,C1
2023-12-15,250,C3
2023-12-14,711,C4
2023-12-13,525,C4
2023-12-12,375,C3
2023-12-11,856,C2
2023-12-10,711,C3
2023-12-09,396,C3
2023-12-08,132,C3
2023-12-07,886,C4
2023-12-06,963,C3
2023-12-05,631,C3
2023-12-04,105,C3
2023-12-03,668,C4
2023-12-02,272,C1
2023-12-01,909,C3
2023-11-30,154,C1
2023-11-29,390,C4
2023-11-28,333,C1
2023-11-27,541,C4
2023-11-26,570,C3
2023-11-25,709,C3
2023-11-24,408,C1
2023-11-23,762,C3
2023-11-22,382,C1
2023-11-21,319,C2
2023-11-20,478,C3
2023-11-19,400,C3
2023-11-18,660,C3
2023-11-17,761,C4
2023-11-16,526,C1
2023-11-15,832,C3
2023-11-14,398,C3
2023-11-13,766,C3
2023-11-12,145,C4
2023-11-11,955,C1
2023-11-10,398,C3
2023-11-09,897,C3
2023-11-08,879,C1
2023-11-07,657,C1
2023-11-06,430,C1
2023-11-05,65,C3
2023-11-04,965,C3
2023-11-03,211,C3
2023-11-02,836,C1
2023-11-01,364,C4
2023-10-31,302,C3
2023-10-30,435,C1
2023-10-29,182,C1
2023-10-28,467,C2
2023-10-27,158,C4
2023-10-26,285,C4
2023-10-25,446,C3
2023-10-24,613,C3
2023-10-23,736,C2
2023-10-22,747,C3
2023-10-21,803,C4
2023-10-20,384,C1
2023-10-19,956,C3
2023-10-18,780,C4
2023-10-17,645,C3
2023-10-16,71,C1
2023-10-15,746,C2
2023-10-14,109,C4
2023-10-13,903,C3
2023-10-12,477,C1
2023-10-11,738,C3
2023-10-10,437,C3
2023-10-09,44,C2
2023-10-08,554,C1
2023-10-07,850,C4
2023-10-06,990,C2
2023-10-05,141,C1
2023-10-04,95,C2
2023-10-03,606,C2
2023-10-02,776,C3
2023-10-01,890,C4
2023-09-30,772,C1
2023-09-29,996,C3
2023-09-28,800,C4
2023-09-27,472,C2
2023-09-26,714,C2
2023-09-25,154,C3
2023-09-24,416,C4
2023-09-23,74,C1
2023-09-22,988,C1
2023-09-21,890,C3
2023-09-20,152,C4
2023-09-19,788,C1
2023-09-18,460,C2
2023-09-17,807,C3
2023-09-16,544,C4
2023-09-15,32,C2
2023-09-14,740,C2
2023-09-13,276,C2
2023-09-12,553,C1
2023-09-11,225,C4
2023-09-10,218,C1
2023-09-09,511,C1
2023-09-08,80,C3
2023-09-07,12,C3
2023-09-06,674,C2
2023-09-05,789,C1
2023-09-04,564,C4
2023-09-03,111,C1
2023-09-02,758,C1
2023-09-01,955,C1
2023-08-31,85,C2
2023-08-30,54,C3
2023-08-29,124,C2
2023-08-28,829,C1
2023-08-27,726,C2
2023-08-26,982,C4
2023-08-25,22,C3
2023-08-24,998,C4
2023-08-23,233,C1
2023-08-22,917,C1
2023-08-21,48,C1
2023-08-20,327,C2
2023-08-19,924,C3
2023-08-18,592,C4
2023-08-17,45,C2
2023-08-16,499,C2
2023-08-15,294,C2
2023-08-14,351,C2
2023-08-13,868,C2
2023-08-12,869,C2
2023-08-11,179,C4
2023-08-10,529,C3
2023-08-09,725,C4
2023-08-08,770,C1
2023-08-07,882,C1
2023-08-06,38,C1
2023-08-05,626,C4
2023-08-04,218,C3
2023-08-03,522,C3
2023-08-02,260,C2
2023-08-01,409,C4
2023-07-31,881,C4
2023-07-30,86,C4
2023-07-29,587,C2
2023-07-28,84,C4
2023-07-27,189,C4
2023-07-26,10,C4
2023-07-25,471,C3
2023-07-24,492,C2
2023-07-23,370,C3
2023-07-22,814,C1
2023-07-21,258,C3
2023-07-20,958,C1
2023-07-19,226,C1
2023-07-18,808,C1
2023-07-17,687,C2
2023-07-16,670,C4
2023-07-15,135,C3
2023-07-14,153,C3
2023-07-13,658,C2
2023-07-12,935,C1
2023-07-11,171,C2
2023-07-10,754,C3
2023-07-09,328,C1
2023-07-08,59,C1
2023-07-07,740,C3
2023-07-06,922,C4
2023-07-05,532,C2
2023-07-04,614,C2
2023-07-03,301,C4
2023-07-02,233,C4
2023-07-01,638,C3
2023-06-30,913,C1
2023-06-29,570,C4
2023-06-28,515,C4
2023-06-27,512,C2
2023-06-26,220,C3
2023-06-25,989,C2
2023-06-24,126,C1
2023-06-23,205,C4
2023-06-22,239,C4
2023-06-21,879,C1
2023-06-20,894,C4
2023-06-19,324,C3
2023-06-18,731,C4
2023-06-17,443,C3
2023-06-16,443,C3
2023-06-15,475,C2
2023-06-14,211,C2
2023-06-13,177,C3
2023-06-12,593,C4
2023-06-11,205,C3
2023-06-10,639,C2
2023-06-09,127,C2
2023-06-08,807,C4
2023-06-07,681,C2
2023-06-06,960,C1
2023-06-05,968,C1
2023-06-04,544,C1
2023-06-03,462,C4
2023-06-02,611,C1
2023-06-01,569,C1
2023-05-31,146,C2
2023-05-30,193,C3
2023-05-29,656,C2
2023-05-28,472,C4
2023-05-27,317,C4
2023-05-26,395,C4
2023-05-25,737,C1
2023-05-24,967,C2
2023-05-23,117,C3
2023-05-22,270,C2
2023-05-21,759,C1
2023-05-20,758,C3
2023-05-19,778,C1
2023-05-18,835,C3
2023-05-17,737,C4
2023-05-16,291,C4
2023-05-15,761,C3
2023-05-14,925,C4
2023-05-13,372,C3
2023-05-12,757,C1
2023-05-11,543,C4
2023-05-10,288,C1
2023-05-09,756,C1
2023-05-08,577,C4
2023-05-07,796,C1
2023-05-06,205,C3
2023-05-05,914,C3
2023-05-04,235,C4
2023-05-03,159,C3
2023-05-02,492,C3
2023-05-01,274,C2
2023-04-30,743,C1
2023-04-29,582,C2
2023-04-28,739,C4
2023-04-27,789,C2
2023-04-26,754,C3
2023-04-25,316,C4
2023-04-24,332,C4
2023-04-23,184,C1
2023-04-22,219,C2
2023-04-21,659,C2
2023-04-20,663,C3
2023-04-19,413,C2
2023-04-18,532,C3
2023-04-17,991,C3
2023-04-16,916,C3
2023-04-15,240,C3
2023-04-14,50,C2
2023-04-13,950,C1
2023-04-12,518,C2
2023-04-11,325,C4
2023-04-10,177,C3
2023-04-09,243,C4
2023-04-08,205,C4
2023-04-07,326,C2
2023-04-06,543,C3
2023-04-05,240,C1
2023-04-04,689,C4
2023-04-03,182,C1
2023-04-02,875,C2
2023-04-01,211,C2
2023-03-31,984,C2
2023-03-30,834,C4
2023-03-29,320,C2
2023-03-28,100,C3
2023-03-27,593,C4
2023-03-26,698,C1
2023-03-25,506,C3
2023-03-24,796,C1
2023-03-23,560,C1
2023-03-22,834,C4
2023-03-21,181,C4
2023-03-20,534,C1
2023-03-19,252,C1
2023-03-18,98,C1
2023-03-17,40,C1
2023-03-16,682,C3
2023-03-15,910,C1
2023-03-14,674,C2
2023-03-13,990,C3
2023-03-12,932,C4
2023-03-11,227,C1
2023-03-10,184,C2
2023-03-09,297,C1
2023-03-08,260,C1
2023-03-07,641,C4
2023-03-06,784,C1
2023-03-05,278,C1
2023-03-04,649,C3
2023-03-03,609,C4
2023-03-02,82,C3
2023-03-01,975,C4
2023-02-28,825,C3
2023-02-27,506,C2
2023-02-26,994,C3
2023-02-25,812,C2
2023-02-24,321,C3
2023-02-23,730,C1
2023-02-22,598,C3
2023-02-21,82,C1
2023-02-20,658,C1
2023-02-19,775,C3
2023-02-18,832,C1
2023-02-17,606,C2
2023-02-16,760,C3
2023-02-15,859,C2
2023-02-14,332,C4
2023-02-13,227,C1
2023-02-12,561,C4
2023-02-11,730,C1
2023-02-10,980,C4
2023-02-09,457,C4
2023-02-08,593,C1
2023-02-07,638,C4
2023-02-06,239,C4
2023-02-05,231,C1
2023-02-04,393,C4
2023-02-03,172,C3
2023-02-02,984,C3
2023-02-01,125,C2
2023-01-31,556,C2
2023-01-30,428,C2
2023-01-29,822,C3
2023-01-28,321,C2
2023-01-27,645,C2
2023-01-26,373,C1
2023-01-25,618,C2
2023-01-24,840,C1
2023-01-23,657,C1
2023-01-22,279,C1
2023-01-21,859,C2
2023-01-20,833,C3
2023-01-19,462,C1
2023-01-18,182,C4
2023-01-17,224,C1
2023-01-16,125,C2
2023-01-15,429,C3
2023-01-14,122,C4
2023-01-13,434,C3
2023-01-12,769,C1
2023-01-11,988,C1
2023-01-10,284,C1
2023-01-09,715,C1
2023-01-08,895,C3
2023-01-07,735,C2
2023-01-06,267,C3
2023-01-05,597,C1
2023-01-04,437,C1
2023-01-03,239,C1
2023-01-02,472,C4
2023-01-01,570,C2
2022-12-31,675,C2
2022-12-30,472,C1
2022-12-29,783,C2
2022-12-28,218,C1
2022-12-27,535,C2
2022-12-26,599,C3
2022-12-25,789,C3
2022-12-24,468,C3
2022-12-23,637,C4
2022-12-22,544,C4
2022-12-21,849,C2
2022-12-20,709,C4
2022-12-19,670,C1
2022-12-18,820,C3
2022-12-17,577,C2
2022-12-16,930,C2
2022-12-15,674,C1
2022-12-14,388,C2
2022-12-13,174,C3
2022-12-12,291,C1
2022-12-11,246,C1
2022-12-10,847,C3
2022-12-09,825,C3
2022-12-08,204,C3
2022-12-07,123,C3
2022-12-06,499,C4
2022-12-05,948,C1
2022-12-04,179,C3
2022-12-03,809,C3
2022-12-02,159,C4
2022-12-01,419,C4
2022-11-30,575,C1
2022-11-29,895,C4
2022-11-28,580,C3
2022-11-27,59,C2
2022-11-26,58,C1
2022-11-25,351,C4
2022-11-24,11,C4
2022-11-23,403,C3
2022-11-22,534,C3
2022-11-21,260,C4
2022-11-20,768,C4
2022-11-19,836,C3
2022-11-18,729,C1
2022-11-17,389,C2
2022-11-16,103,C3
2022-11-15,496,C4
2022-11-14,973,C3
2022-11-13,551,C3
2022-11-12,137,C3
2022-11-11,810,C3
2022-11-10,790,C1
2022-11-09,866,C1
2022-11-08,322,C2
2022-11-07,858,C2
2022-11-06,401,C2
2022-11-05,317,C4
2022-11-04,688,C2
2022-11-03,385,C4
2022-11-02,172,C1
2022-11-01,745,C1
2022-10-31,38,C1
2022-10-30,307,C2
2022-10-29,958,C2
2022-10-28,544,C1
2022-10-27,988,C1
2022-10-26,369,C2
2022-10-25,522,C3
2022-10-24,995,C3
2022-10-23,43,C2
2022-10-22,40,C3
2022-10-21,450,C4
2022-10-20,557,C3
2022-10-19,546,C1
2022-10-18,53,C3
2022-10-17,233,C1
2022-10-16,645,C3
2022-10-15,405,C4
2022-10-14,170,C3
2022-10-13,905,C4
2022-10-12,332,C3
2022-10-11,379,C3
2022-10-10,977,C2
2022-10-09,416,C2
2022-10-08,188,C2
2022-10-07,627,C2
2022-10-06,427,C3
2022-10-05,399,C1
2022-10-04,748,C1
2022-10-03,232,C1
